first_name,last_name,email,gender,ip_address,transaction_id,transaction_date_time,account_number,transaction_type,transaction_amount,transaction_currency,merchant_name,merchant_location,transaction_category
Tomi,Somefun,Tomi.Somefun-Ogbu@test.com,Female,144.23.8.167,897,2021-04-23 15:07:22,0011168812,transfer,16316.78,IDR,Oyoyo,Room 193,transportation
Tomi,Somefun,Tomi.Somefun-Ogbu@test.com,Female,31.188.31.232,898,2021-04-18 16:22:53,0011168812,withdrawal,7362.59,SEK,Yambee,Suite 61,entertainment
Tomi,Somefun,Tomi.Somefun-Ogbu@test.com,Female,84.29.217.100,899,2021-12-27 19:52:24,0011168812,withdrawal,29449.95,CNY,Feedbug,Room 939,transportation
Tomi,Somefun,Tomi.Somefun-Ogbu@test.com,Female,253.96.14.216,900,2021-07-14 08:19:50,0011168812,deposit,1918.73,JPY,Jabbertype,PO Box 9448,entertainment
Tomi,Somefun,Tomi.Somefun-Ogbu@test.com,Female,114.43.19.50,901,2021-04-19 09:47:06,0011168812,withdrawal,23768.32,EUR,Skinder,Suite 4,groceries
Tomi,Somefun,Tomi.Somefun-Ogbu@test.com,Female,165.92.221.152,902,2021-04-20 00:31:57,0011168812,transfer,23405.77,JPY,Kamba,Suite 77,transportation
Tomi,Somefun,Tomi.Somefun-Ogbu@test.com,Female,217.111.124.40,903,2021-06-07 12:13:21,0011168812,deposit,27543.54,CNY,Voomm,Room 105,entertainment
Tomi,Somefun,Tomi.Somefun-Ogbu@test.com,Female,110.101.111.124,904,2021-11-07 01:05:41,0011168812,transfer,29603.04,CNY,Kimia,PO Box 15508,entertainment
Tomi,Somefun,Tomi.Somefun-Ogbu@test.com,Female,29.210.130.8,905,2021-10-01 07:34:07,0011168812,withdrawal,5423.87,COP,Skaboo,PO Box 86876,transportation
Tomi,Somefun,Tomi.Somefun-Ogbu@test.com,Female,212.172.167.46,906,2021-04-12 18:31:24,0011168812,transfer,17143.57,CNY,Youspan,19th Floor,entertainment
Tomi,Somefun,Tomi.Somefun-Ogbu@test.com,Female,250.79.115.122,907,2021-11-12 20:44:24,0011168812,deposit,7910.2,EUR,Youbridge,Apt 732,groceries
Tomi,Somefun,Tomi.Somefun-Ogbu@test.com,Female,37.209.158.176,908,2021-05-13 17:20:12,0011168812,withdrawal,11047.36,PLN,Rhycero,Suite 24,transportation
Tomi,Somefun,Tomi.Somefun-Ogbu@test.com,Female,55.83.185.216,909,2021-02-07 03:19:11,0011168812,deposit,23640.09,PHP,Edgewire,PO Box 25955,entertainment
Tomi,Somefun,Tomi.Somefun-Ogbu@test.com,Female,62.212.185.64,910,2021-07-13 00:34:25,0011168812,deposit,492.92,EUR,Tanoodle,Apt 121,groceries
