first_name,last_name,email,gender,ip_address,transaction_id,transaction_date_time,account_number,transaction_type,transaction_amount,transaction_currency,merchant_name,merchant_location,transaction_category
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,233.109.217.170,1,2021-11-22 01:09:52,0011118881,transfer,14694.19,PEN,Mycat,PO Box 85713,groceries
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,69.183.92.167,2,2021-11-23 00:55:39,0011118881,withdrawal,21857.27,CVE,Divavu,PO Box 72307,entertainment
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,45.118.150.177,3,2021-07-17 14:30:27,0011118881,withdrawal,9091.28,HUF,Podcat,Suite 35,entertainment
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,213.27.102.170,4,2021-10-03 07:55:07,0011118881,withdrawal,29364.38,CNY,Mynte,Room 1228,transportation
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,114.119.156.116,5,2021-03-09 06:04:27,0011118881,transfer,15983.06,EUR,Avaveo,Suite 29,transportation
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,164.124.126.55,6,2021-09-06 08:16:01,0011118881,withdrawal,29001.3,CNY,Muxo,Apt 1444,transportation
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,181.59.109.8,7,2021-07-31 06:33:27,0011118881,transfer,10035.38,CNY,Latz,Suite 58,transportation
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,76.173.205.147,8,2021-05-15 19:22:28,0011118881,transfer,1772.11,IDR,Wordify,Apt 69,entertainment
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,184.56.195.153,9,2021-04-11 12:08:08,0011118881,withdrawal,2509.43,BRL,Yacero,Room 1225,entertainment
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,63.185.52.12,10,2021-07-17 17:51:35,0011118881,withdrawal,6281.49,BAM,Divavu,Room 1989,groceries
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,100.156.42.108,11,2021-09-07 12:19:09,0011118881,withdrawal,18700.15,CNY,Browsezoom,Apt 1259,entertainment
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,77.88.67.175,12,2021-05-19 17:39:05,0011118881,deposit,16073.39,CNY,Bluezoom,Room 798,entertainment
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,46.184.101.86,13,2021-03-07 03:00:38,0011118881,deposit,8328.7,CNY,Layo,19th Floor,groceries
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,49.4.48.201,14,2021-06-11 07:10:20,0011118881,transfer,7249.85,KRW,Skivee,Suite 10,entertainment
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,161.109.54.148,15,2021-08-19 08:56:14,0011118881,withdrawal,14452.19,VND,Skivee,PO Box 85091,groceries
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,221.52.77.157,16,2021-06-28 02:02:35,0011118881,deposit,986.33,BIF,Jaxworks,Apt 549,transportation
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,37.161.62.54,17,2021-12-02 13:46:45,0011118881,withdrawal,19941.51,BGN,Jabberstorm,Apt 630,groceries
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,100.97.245.94,18,2021-06-01 10:05:24,0011118881,transfer,26713.82,UAH,Mudo,7th Floor,entertainment
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,134.124.222.213,19,2021-11-29 13:31:19,0011118881,withdrawal,27355.71,SEK,Meembee,Room 1862,entertainment
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,102.165.195.131,20,2021-10-08 07:10:08,0011118881,deposit,19324.11,EUR,Yamia,PO Box 7575,entertainment
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,162.84.26.45,21,2021-01-16 16:44:05,0011118881,withdrawal,11119.97,RUB,Wordify,Apt 1800,transportation
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,152.203.207.204,22,2021-03-29 00:27:31,0011118881,deposit,3577.73,CNY,Gigaclub,Apt 628,transportation
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,161.184.68.219,23,2021-12-20 01:57:36,0011118881,withdrawal,26906.14,UAH,Quamba,Suite 62,entertainment
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,61.50.198.173,24,2021-08-23 21:24:47,0011118881,deposit,23681.69,CAD,Aibox,Room 1269,entertainment
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,248.183.233.240,25,2021-07-13 15:25:09,0011118881,transfer,28834.17,JPY,Zooveo,Apt 876,entertainment
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,233.239.135.127,26,2021-12-10 23:23:22,0011118881,transfer,25699.26,VEF,Innotype,16th Floor,transportation
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,3.109.131.79,27,2021-08-14 10:13:49,0011118881,transfer,1396.56,CNY,Blogtags,Apt 1419,entertainment
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,9.237.17.96,28,2021-10-07 00:11:02,0011118881,withdrawal,27560.25,CZK,Babbleblab,Suite 34,groceries
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,86.180.64.41,29,2021-09-12 05:56:09,0011118881,deposit,6189.96,PKR,Avamba,Suite 39,entertainment
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,100.31.251.232,30,2021-02-11 04:45:56,0011118881,transfer,17578.13,IDR,Skyndu,Apt 555,transportation
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,47.107.118.33,31,2021-08-19 01:50:25,0011118881,transfer,8303.56,ETB,Meejo,Room 1339,groceries
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,87.244.230.153,32,2021-04-08 20:56:09,0011118881,deposit,17957.02,CNY,Yamia,Apt 819,groceries
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,8.7.114.10,33,2021-09-09 18:06:52,0011118881,transfer,1856.55,USD,Babbleopia,Apt 1319,transportation
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,162.98.13.131,34,2021-09-26 17:08:07,0011118881,transfer,27082.95,PEN,Twitterlist,Apt 1454,groceries
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,74.132.68.31,35,2021-01-26 19:43:47,0011118881,deposit,12348.73,RSD,Zoomcast,Suite 87,groceries
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,28.76.141.198,36,2021-09-14 23:40:08,0011118881,transfer,5334.28,IDR,Trudeo,Suite 47,groceries
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,142.13.199.66,37,2021-11-12 02:59:28,0011118881,deposit,16837.91,JPY,Realmix,PO Box 78580,transportation
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,94.197.99.115,38,2021-08-28 19:31:04,0011118881,deposit,5827.87,PLN,Realblab,Suite 68,entertainment
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,147.215.66.14,39,2021-09-24 07:47:43,0011118881,transfer,27532.98,RUB,Zazio,Room 973,transportation
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,95.205.5.170,40,2021-06-18 00:29:12,0011118881,deposit,29563.92,EUR,Twitterbridge,Apt 1089,entertainment
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,96.162.146.71,41,2021-11-03 07:53:52,0011118881,deposit,7309.84,ZWL,Agivu,Apt 995,transportation
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,168.187.115.229,42,2021-04-15 00:29:51,0011118881,deposit,11971.95,PEN,Vinte,Apt 1125,transportation
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,146.172.186.20,43,2021-02-25 19:14:37,0011118881,transfer,8710.09,BTN,Yombu,Room 993,transportation
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,185.81.183.45,44,2021-12-26 07:07:30,0011118881,withdrawal,16396.36,CAD,Kazu,Suite 97,groceries
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,115.98.248.75,45,2021-02-20 13:01:13,0011118881,transfer,6026.03,NGN,Riffpedia,PO Box 55687,transportation
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,19.122.224.226,46,2021-01-13 13:25:25,0011118881,transfer,8123.86,IDR,Centizu,Apt 166,transportation
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,237.187.181.53,47,2021-11-28 10:29:03,0011118881,withdrawal,5584.86,CNY,Quinu,Suite 90,transportation
Chigozie,Anyasor,chigozie.anyasor@test.com,Male,70.121.122.60,48,2021-08-28 14:51:08,0011118881,deposit,15891.54,KPW,Topicshots,Apt 277,entertainment
